id,title,peak,year,orientation,module_brand,module_count,transformer_brand,transformer_count
badboll,Ev. Akademie Bad Boll,32130,2009,↓ S,210W,153,SMA SMC 10000 TL 10kW,3
esslingen,Esslingen Waldheim,28200,2010,↙ SW,SunPower 225Wp,125,Fronius IG plus 150 / Plus 70,3
geislingen,Ev. Pfarrhaus Geislingen,5700,2011,↙ SW,Schüco MPE 190 MS06,30,SMA SMC 5000a,1
holzgerlingen,Johanneskirche Holzgerlingen,17640,2012,↓ S,Bosch M60-245,72,Kostal PIKO 8.3,2
hospitalhof,Hospitalhof Stuttgart,36210,2014,↓ S,REC 255W poly,142,SMA Tripower 17000,2
karlsruhe,Erlöserkirche Karlsruhe,62400,2012,↓ SSW,Schüco MPE 240W (poly),260,Schüco SGI 30k 33K,2
mettingen,Esslingen-Mettingen,29835,2012,↓ S,SolarFabrik Premium 255W,117,SMA Tripower 15 KW,2
muensingen,Samariterstift Muensingen,85000,2017,↓ S,Unbekannt,-,Kaco,6
tuebingen,Samariterstift Tübingen,21675,2012,↓ SSO,SolarFabrik Premium L 255W,85,SMA STP 15.000 / SMA SB 5000,2
waiblingen,Christuskirche Waiblingen,9945,2012,↙ SW,SolarFabrik ,-,Kostal Piko 10.1,1
